donor_race,mapped_donor_race
Unknown Race,Unknown Race
White,White
European,White
African,Black/African American
South Asian,Asian
East Asian,Asian
Asian,Asian
Hispanic or Latin American,Hispanic
"Native American,Hispanic or Latin American",American Indian/Alaska native or Hispanic
Greater Middle Eastern  (Middle Eastern or North African or Persian),White
African American,Black/African American
Pacific Islander,Native Hawaiian/Other Pacific Islander
Han Chinese,Asian
British,White
Irish,White
Bangladeshi,Asian
"European,Asian",Unknown Race
American,Unknown Race
Native American,American Indian/Alaska native
Oceanian,Unknown Race
Jewish Israeli,White
Finnish,White
Chinese,Asian
Japanese,Asian
Korean,Asian
Singaporean Chinese,Asian
Singaporean Malay,Asian
Singaporean Indian,Asian
African American or Afro-Caribbean,Black/African American
Black or African American,Black/African American
Unknown,
