cell_label,cell_id,level_1_cell_id,level_1_cell_label
cell,http://purl.obolibrary.org/obo/CL_0000000,http://purl.obolibrary.org/obo/CL_0000000,unknown cell
hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0000037,http://purl.obolibrary.org/obo/CL_0000034,stem cell
fibroblast,http://purl.obolibrary.org/obo/CL_0000057,http://purl.obolibrary.org/obo/CL_0000057,fibroblast
epithelial cell,http://purl.obolibrary.org/obo/CL_0000066,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071,http://purl.obolibrary.org/obo/CL_0000000,unknown cell
mesothelial cell,http://purl.obolibrary.org/obo/CL_0000077,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
T cell,http://purl.obolibrary.org/obo/CL_0000084,http://purl.obolibrary.org/obo/CL_0000084,T cell
mast cell,http://purl.obolibrary.org/obo/CL_0000097,http://purl.obolibrary.org/obo/CL_0000000,unknown cell
mononuclear phagocyte,http://purl.obolibrary.org/obo/CL_0000113,http://purl.obolibrary.org/obo/CL_0000000,unknown cell
endothelial cell,http://purl.obolibrary.org/obo/CL_0000115,http://purl.obolibrary.org/obo/CL_0000000,unknown cell
adipocyte,http://purl.obolibrary.org/obo/CL_0000136,http://purl.obolibrary.org/obo/CL_0000136,adipocyte
melanocyte,http://purl.obolibrary.org/obo/CL_0000148,http://purl.obolibrary.org/obo/CL_0000148,melanocyte
club cell,http://purl.obolibrary.org/obo/CL_0000158,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
goblet cell,http://purl.obolibrary.org/obo/CL_0000160,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
neuroendocrine cell,http://purl.obolibrary.org/obo/CL_0000165,http://purl.obolibrary.org/obo/CL_0000540,neuron
type B pancreatic cell,http://purl.obolibrary.org/obo/CL_0000169,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
pancreatic A cell,http://purl.obolibrary.org/obo/CL_0000171,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
pancreatic D cell,http://purl.obolibrary.org/obo/CL_0000173,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
myofibroblast cell,http://purl.obolibrary.org/obo/CL_0000186,http://purl.obolibrary.org/obo/CL_0000000,unknown cell
muscle cell,http://purl.obolibrary.org/obo/CL_0000187,http://purl.obolibrary.org/obo/CL_0000000,unknown cell
smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000192,http://purl.obolibrary.org/obo/CL_0000192,smooth muscle cell
erythrocyte,http://purl.obolibrary.org/obo/CL_0000232,http://purl.obolibrary.org/obo/CL_0000081,blood cell
platelet,http://purl.obolibrary.org/obo/CL_0000233,http://purl.obolibrary.org/obo/CL_0000081,blood cell
macrophage,http://purl.obolibrary.org/obo/CL_0000235,http://purl.obolibrary.org/obo/CL_0000235,macrophage
B cell,http://purl.obolibrary.org/obo/CL_0000236,http://purl.obolibrary.org/obo/CL_0000236,B cell
serous secreting cell,http://purl.obolibrary.org/obo/CL_0000313,http://purl.obolibrary.org/obo/CL_0000000,unknown cell
vascular associated smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000359,http://purl.obolibrary.org/obo/CL_0000192,smooth muscle cell
dendritic cell,http://purl.obolibrary.org/obo/CL_0000451,http://purl.obolibrary.org/obo/CL_0000451,dendritic cell
Langerhans cell,http://purl.obolibrary.org/obo/CL_0000453,http://purl.obolibrary.org/obo/CL_0000451,dendritic cell
CD4-positive helper T cell,http://purl.obolibrary.org/obo/CL_0000492,http://purl.obolibrary.org/obo/CL_0000084,T cell
stromal cell,http://purl.obolibrary.org/obo/CL_0000499,http://purl.obolibrary.org/obo/CL_0000499,stromal cell
paneth cell,http://purl.obolibrary.org/obo/CL_0000510,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
neuron,http://purl.obolibrary.org/obo/CL_0000540,http://purl.obolibrary.org/obo/CL_0000540,neuron
lymphocyte,http://purl.obolibrary.org/obo/CL_0000542,http://purl.obolibrary.org/obo/CL_0000000,unknown cell
T-helper 1 cell,http://purl.obolibrary.org/obo/CL_0000545,http://purl.obolibrary.org/obo/CL_0000084,T cell
T-helper 2 cell,http://purl.obolibrary.org/obo/CL_0000546,http://purl.obolibrary.org/obo/CL_0000084,T cell
monocyte,http://purl.obolibrary.org/obo/CL_0000576,http://purl.obolibrary.org/obo/CL_0000576,monocyte
alveolar macrophage,http://purl.obolibrary.org/obo/CL_0000583,http://purl.obolibrary.org/obo/CL_0000235,macrophage
enterocyte,http://purl.obolibrary.org/obo/CL_0000584,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
natural killer cell,http://purl.obolibrary.org/obo/CL_0000623,http://purl.obolibrary.org/obo/CL_0000623,natural killer cell
"CD4-positive, alpha-beta T cell",http://purl.obolibrary.org/obo/CL_0000624,http://purl.obolibrary.org/obo/CL_0000084,T cell
"CD8-positive, alpha-beta T cell",http://purl.obolibrary.org/obo/CL_0000625,http://purl.obolibrary.org/obo/CL_0000084,T cell
basal cell,http://purl.obolibrary.org/obo/CL_0000646,http://purl.obolibrary.org/obo/CL_0000034,stem cell
kidney granular cell,http://purl.obolibrary.org/obo/CL_0000648,http://purl.obolibrary.org/obo/CL_0000192,smooth muscle cell
mesangial cell,http://purl.obolibrary.org/obo/CL_0000650,http://purl.obolibrary.org/obo/CL_0000000,unknown cell
podocyte,http://purl.obolibrary.org/obo/CL_0000653,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
pericyte,http://purl.obolibrary.org/obo/CL_0000669,http://purl.obolibrary.org/obo/CL_0000000,unknown cell
leukocyte,http://purl.obolibrary.org/obo/CL_0000738,http://purl.obolibrary.org/obo/CL_0000000,unknown cell
cardiac muscle cell,http://purl.obolibrary.org/obo/CL_0000746,http://purl.obolibrary.org/obo/CL_0000746,cardiac muscle cell
myeloid cell,http://purl.obolibrary.org/obo/CL_0000763,http://purl.obolibrary.org/obo/CL_0000000,unknown cell
basophil,http://purl.obolibrary.org/obo/CL_0000767,http://purl.obolibrary.org/obo/CL_0000081,blood cell
neutrophil,http://purl.obolibrary.org/obo/CL_0000775,http://purl.obolibrary.org/obo/CL_0000081,blood cell
plasmacytoid dendritic cell,http://purl.obolibrary.org/obo/CL_0000784,http://purl.obolibrary.org/obo/CL_0000451,dendritic cell
plasma cell,http://purl.obolibrary.org/obo/CL_0000786,http://purl.obolibrary.org/obo/CL_0000000,unknown cell
memory B cell,http://purl.obolibrary.org/obo/CL_0000787,http://purl.obolibrary.org/obo/CL_0000236,B cell
naive B cell,http://purl.obolibrary.org/obo/CL_0000788,http://purl.obolibrary.org/obo/CL_0000236,B cell
mature alpha-beta T cell,http://purl.obolibrary.org/obo/CL_0000791,http://purl.obolibrary.org/obo/CL_0000084,T cell
"CD4-positive, CD25-positive, alpha-beta regulatory T cell",http://purl.obolibrary.org/obo/CL_0000792,http://purl.obolibrary.org/obo/CL_0000084,T cell
"CD8-positive, alpha-beta cytotoxic T cell",http://purl.obolibrary.org/obo/CL_0000794,http://purl.obolibrary.org/obo/CL_0000084,T cell
gamma-delta T cell,http://purl.obolibrary.org/obo/CL_0000798,http://purl.obolibrary.org/obo/CL_0000084,T cell
"double-positive, alpha-beta thymocyte",http://purl.obolibrary.org/obo/CL_0000809,http://purl.obolibrary.org/obo/CL_0000084,T cell
mature NK T cell,http://purl.obolibrary.org/obo/CL_0000814,http://purl.obolibrary.org/obo/CL_0000084,T cell
regulatory T cell,http://purl.obolibrary.org/obo/CL_0000815,http://purl.obolibrary.org/obo/CL_0000084,T cell
classical monocyte,http://purl.obolibrary.org/obo/CL_0000860,http://purl.obolibrary.org/obo/CL_0000576,monocyte
non-classical monocyte,http://purl.obolibrary.org/obo/CL_0000875,http://purl.obolibrary.org/obo/CL_0000576,monocyte
alternatively activated macrophage,http://purl.obolibrary.org/obo/CL_0000890,http://purl.obolibrary.org/obo/CL_0000235,macrophage
"naive thymus-derived CD4-positive, alpha-beta T cell",http://purl.obolibrary.org/obo/CL_0000895,http://purl.obolibrary.org/obo/CL_0000084,T cell
"CD4-positive, alpha-beta memory T cell",http://purl.obolibrary.org/obo/CL_0000897,http://purl.obolibrary.org/obo/CL_0000084,T cell
T-helper 17 cell,http://purl.obolibrary.org/obo/CL_0000899,http://purl.obolibrary.org/obo/CL_0000084,T cell
"naive thymus-derived CD8-positive, alpha-beta T cell",http://purl.obolibrary.org/obo/CL_0000900,http://purl.obolibrary.org/obo/CL_0000084,T cell
"CD8-positive, alpha-beta memory T cell",http://purl.obolibrary.org/obo/CL_0000909,http://purl.obolibrary.org/obo/CL_0000084,T cell
cytotoxic T cell,http://purl.obolibrary.org/obo/CL_0000910,http://purl.obolibrary.org/obo/CL_0000084,T cell
"effector memory CD8-positive, alpha-beta T cell",http://purl.obolibrary.org/obo/CL_0000913,http://purl.obolibrary.org/obo/CL_0000084,T cell
type I NK T cell,http://purl.obolibrary.org/obo/CL_0000921,http://purl.obolibrary.org/obo/CL_0000084,T cell
"CD16-negative, CD56-bright natural killer cell, human",http://purl.obolibrary.org/obo/CL_0000938,http://purl.obolibrary.org/obo/CL_0000623,natural killer cell
conventional dendritic cell,http://purl.obolibrary.org/obo/CL_0000990,http://purl.obolibrary.org/obo/CL_0000451,dendritic cell
"effector CD8-positive, alpha-beta T cell",http://purl.obolibrary.org/obo/CL_0001050,http://purl.obolibrary.org/obo/CL_0000084,T cell
"dendritic cell, human",http://purl.obolibrary.org/obo/CL_0001056,http://purl.obolibrary.org/obo/CL_0000451,dendritic cell
"plasmacytoid dendritic cell, human",http://purl.obolibrary.org/obo/CL_0001058,http://purl.obolibrary.org/obo/CL_0000451,dendritic cell
innate lymphoid cell,http://purl.obolibrary.org/obo/CL_0001065,http://purl.obolibrary.org/obo/CL_0000000,unknown cell
"group 3 innate lymphoid cell, human",http://purl.obolibrary.org/obo/CL_0001078,http://purl.obolibrary.org/obo/CL_0000000,unknown cell
T follicular helper cell,http://purl.obolibrary.org/obo/CL_0002038,http://purl.obolibrary.org/obo/CL_0000084,T cell
